uspc_class,,examiner_art_unit,uspc_class,allowance
165,1,2852,165,0.645082004533933
165,2,2305,165,0.5701930304097578
166,0,2847,166,0.8083371999321096
166,1,2842,166,0.7890679164651656
166,2,2856,166,0.7259406919958296
168,0,3616,168,0.38419335187687076
168,1,3647,168,0.36929855400587036
168,2,3644,168,0.3452427877409591
169,0,3633,169,0.5261135674824828
169,1,3762,169,0.5198813109875241
169,2,3635,169,0.5081508158817869
171,0,3765,171,0.600406052295529
171,1,2197,171,0.5381074574048434
171,2,3616,171,0.5380725055184907
172,0,2647,172,0.6494887087450937
172,1,2753,172,0.620659505955339
172,2,3641,172,0.5897013951338607
173,0,2847,173,0.7160000308430845
173,1,2838,173,0.5853053191409096
173,2,2855,173,0.5745699476122195
174,0,1401,174,0.9424822190627978
174,1,2686,174,0.6706193377576918
174,2,2847,174,0.6492233542359512
175,0,2847,175,0.8064595220027581
175,1,2848,175,0.7499963295968994
175,2,3659,175,0.740684489711925
176,0,2202,176,0.967943366789697
176,1,2203,176,0.9644013828327673
176,2,2201,176,0.9586739608609828
177,0,2856,177,0.6313945533861735
177,1,2844,177,0.6144128708597134
177,2,2855,177,0.5936650088804637
178,0,2686,178,0.7923019742351034
178,1,2847,178,0.7761721204781018
178,2,2842,178,0.7546505757611286
179,0,2305,179,0.974149120360313
179,1,2302,179,0.9637730830833423
179,2,2306,179,0.9637315259319683
180,0,4123,180,0.7398641280832319
180,1,2842,180,0.7188995763071132
180,2,OPC,180,0.6896078645873324
181,0,2688,181,0.5852982766358154
181,1,2856,181,0.5524403035348768
181,2,2854,181,0.5500487021113771
182,0,3638,182,0.6891497320448848
182,1,2307,182,0.4695981593577255
182,2,3641,182,0.4620937954951942
184,0,2852,184,0.7082033537268922
184,1,3748,184,0.5923270098556113
184,2,2837,184,0.5913644466349623
185,0,3638,185,0.739548724342088
185,1,2881,185,0.5593172535753512
185,2,2836,185,0.5132627716121949
186,0,3654,186,0.4484969327797031
186,1,3653,186,0.43593168038529667
186,2,3655,186,0.38753543263749496
187,0,2886,187,0.5963413815871453
187,1,2648,187,0.5515659245949933
187,2,2838,187,0.5348081386855228
188,0,2847,188,0.7207821805199539
188,1,2856,188,0.6185095599256574
188,2,2837,188,0.5723819185738591
190,0,3765,190,0.401680325368412
190,1,2837,190,0.35538250267888316
190,2,2407,190,0.3362263307134575
191,0,2838,191,0.6384314705534777
191,1,2831,191,0.6154476686312911
191,2,2836,191,0.6008742403081734
192,0,4167,192,0.7941893583048197
192,1,3659,192,0.6973287332245119
192,2,3641,192,0.6260190871332489
193,0,3659,193,0.708196742022146
193,1,3648,193,0.6977449008801676
193,2,3644,193,0.5942839072935076
194,0,2887,194,0.667315485995712
194,1,2105,194,0.601170462415074
194,2,2899,194,0.596636322336922
195,0,1302,195,0.9134930514088146
195,1,1205,195,0.8665246141778723
195,2,3404,195,0.8520556344590489
196,0,1774,196,0.6443555428259417
196,1,1798,196,0.6411352416712605
196,2,1306,196,0.6111199000766319
197,0,3307,197,0.7291196902919045
198,0,2868,198,0.7844880698056542
198,1,2852,198,0.7333046540510008
198,2,2886,198,0.6946243129151262
199,0,2203,199,0.611382529308894
199,1,3103,199,0.583882200204788
199,2,3725,199,0.5586387589711277
200,0,2911,200,0.8605034740792833
200,1,2913,200,0.7503843331287062
200,2,2847,200,0.7463413446601627
201,0,1779,201,0.5803550393990238
201,1,1774,201,0.5562765488650437
201,2,1798,201,0.5528122065399974
202,0,1671,202,0.6446145698746581
202,1,1779,202,0.5281644157446707
202,2,1776,202,0.5273217033173809
203,0,1671,203,0.6421761695593119
203,1,2899,203,0.5526781372059547
203,2,1766,203,0.545778172580769
204,0,1401,204,0.9542053509877745
204,1,1676,204,0.6295635145510843
204,2,4141,204,0.6290533455899223
205,0,2886,205,0.6188840452116009
205,1,1671,205,0.6176206907815942
205,2,2741,205,0.5937538222270183
206,0,2847,206,0.5931267039507111
206,1,2852,206,0.5590241974522216
206,2,2848,206,0.5120806241811504
208,0,2856,208,0.6146147015167015
208,1,3641,208,0.5584314396820553
208,2,3616,208,0.5541673371702495
209,0,2866,209,0.7508837604317387
209,1,2886,209,0.6294303406261942
209,2,3659,209,0.6180938287229195
210,0,3638,210,0.7156875870873635
210,1,1671,210,0.5835820650075307
210,2,1672,210,0.5554859789083165
211,0,3638,211,0.6812772534150069
211,1,OPIM,211,0.6392433405224519
211,2,2913,211,0.6295122901989065
212,0,2855,212,0.5989857572997653
212,1,3678,212,0.5651827220435054
212,2,3654,212,0.5355135499928387
213,0,2437,213,0.7217591350215664
213,1,3711,213,0.6889231864442432
213,2,3742,213,0.677432991559095
214,0,3101,214,0.8210331951187996
214,1,3106,214,0.812846642121931
214,2,3104,214,0.8039372317909041
215,0,2761,215,0.512288177949496
215,1,1302,215,0.5081268568247045
215,2,2899,215,0.49977225752056564
216,0,2847,216,0.7487555001747699
216,1,2854,216,0.6495814680979765
216,2,2884,216,0.6440460728752491
217,0,2401,217,0.3974950817088234
217,1,3728,217,0.3782600231576634
217,2,2122,217,0.3444188178621644
218,0,2848,218,0.7112137334688052
218,1,2838,218,0.6569531001597607
218,2,2837,218,0.6394762527032862
219,0,3638,219,0.7711943176300112
219,1,2867,219,0.7247060631227648
219,2,2852,219,0.6951635255611754
220,0,2847,220,0.652466341608457
220,1,2848,220,0.5747660794856022
220,2,2856,220,0.5411020651062267
221,0,2914,221,0.6910802115084367
221,1,3659,221,0.5015585400433425
221,2,2854,221,0.47728715626500073
222,0,2852,222,0.6426244553481971
222,1,4159,222,0.5659752953498225
222,2,2854,222,0.5625926397206982
223,0,3765,223,0.33686304857763105
223,1,2661,223,0.3095034919623856
223,2,3631,223,0.28200541593991163
224,0,2641,224,0.47794921302391086
224,1,2855,224,0.432134396368684
224,2,2837,224,0.4241568128711353
225,0,3765,225,0.5321785766275112
225,1,2823,225,0.43062856739243466
225,2,1506,225,0.37531266159152293
226,0,3648,226,0.5970075700792912
226,1,2854,226,0.585628769712214
226,2,2899,226,0.5281459794974631
227,0,3659,227,0.6841068642855581
227,1,3765,227,0.6660943730054745
227,2,2856,227,0.6649049812869113
228,0,2200,228,0.7291239796093298
228,1,2847,228,0.7253422948991346
228,2,2848,228,0.6553282514162686
229,0,1302,229,0.439949111385877
229,1,2899,229,0.4317315742992286
229,2,1504,229,0.4194301485244782
231,0,3303,231,0.2692486362460949
231,1,3643,231,0.2348630077523598
231,2,3732,231,0.22045379527658415
232,0,2887,232,0.5758183976807184
232,1,3633,232,0.47194164170913067
232,2,2683,232,0.44450876933640887
233,0,2407,233,0.9217507749021779
