usindex,examiner_art_unit,uspc_class,rejection,allowance
7113958,2854,400,0.5314934255779729,0.4685065744220271
9399266,1671,554,0.41111819429249985,0.5888818057075001
15167406,2811,257,0.6168023095090628,0.3831976904909372
3011712,2636,340,0.5248923377204742,0.4751076622795258
6531960,1759,204,0.46562347979095586,0.5343765202090441
5056226,3733,606,0.4838525519577783,0.5161474480422217
7363727,2443,709,0.4258542439966616,0.5741457560033384
3146991,2652,369,0.635639045737002,0.36436095426299797
1299676,1502,424,0.5274328649958095,0.4725671350041904
10414090,3679,166,0.4743398832547745,0.5256601167452255
7348179,2845,343,0.44676722496162247,0.5532327750383775
6725473,3624,705,0.8170480927900684,0.18295190720993157
7693323,1721,430,0.4771092079307596,0.5228907920692404
1584727,3404,122,0.5718176096215118,0.42818239037848815
9670818,2875,362,0.5415486987984375,0.45845130120156247
1241647,1308,210,0.713531613691748,0.286468386308252
16440461,2118,700,0.5324402925528251,0.46755970744717495
8071481,2865,702,0.5025716235803848,0.4974283764196152
1762431,5332,000,0.9997280361557376,0.00027196384426242875
8698255,2438,380,0.41773622735670124,0.5822637726432988
6378615,2911,D08,0.012098974648865335,0.9879010253511347
3722675,1647,514,0.7124116415601944,0.28758835843980557
6117463,2884,250,0.40954870028024815,0.5904512997197519
8307995,3753,137,0.5037514720711874,0.4962485279288126
353649,2605,374,0.5103771319386134,0.4896228680613865
5492537,3645,701,0.27234476631881566,0.7276552336811843
6346228,3735,600,0.544159757455774,0.45584024254422595
9396743,3732,002,0.8154101979733233,0.1845898020266767
7522166,3902,001,0.9999923676490821,7.63235091798465e-06
3860977,2851,396,0.6409397410252602,0.3590602589747398
361739,1506,430,0.5111424385671781,0.48885756143282183
15135623,1711,068,0.5542795295534074,0.4457204704465926
6666456,2898,257,0.2725834203726165,0.7274165796273835
14358819,5331,000,0.9997310898670633,0.000268910132936741
308164,3302,131,0.7140467616916426,0.28595323830835734
12939,2902,999,0.08768921635076987,0.9123107836492301
372670,3307,101,0.6929673050100925,0.3070326949899075
10053262,3619,005,0.7619049505275419,0.23809504947245805
9111863,2836,307,0.4228183717229027,0.5771816282770973
2584588,3743,431,0.6112745747761534,0.38872542522384657
7901007,2436,713,0.35572858236877414,0.6442714176312259
8556213,3616,280,0.5174963155233266,0.48250368447667336
4507523,3749,034,0.642165256359116,0.35783474364088397
